title,view,timeline,youtuber,genre,thumbnail
당신을 늙고 구식으로 보이게 만드는 10가지 패션 실수!,1070000,6개월 전,Shea Whitney,패션,https://i.ytimg.com/vi/RGFepU7VXcY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCxx-IKk3vI4YLhX5f1320q_MfL_Q
Opening Kep1er | Fall/Winter 2022 | Seoul Fashion Week,1030000,7개월 전,Seoul Fashion Week | 서울패션위크,패션,https://i.ytimg.com/vi/v7wVOm_MrLE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDnI4gdiqTxBg7tR3hzdhNtR003wQ
[무도] “죄송한데 그 옷 사입은 거예요?🤔” 한국 패션 역사는 정형돈 이전과 이후로 나뉜다…!👕 ‘썩소 앤 더 시티’ 2편 MBC070915방송,1010000,11개월 전,옛능 : MBC 옛날 예능 다시보기,패션,https://i.ytimg.com/vi/C_Iolvgxy2k/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDlGAgC0IBH2kfEa5KplFRQp-qoow
"매일 맛있게 먹는 건강한 집밥 / 죽순 손질, 미나리 구이, 패션후르츠청 만들기, 플로킹, 일상 Vlog / Cook with me",990000,6개월 전,꿀주부 Honeyjubu,패션,https://i.ytimg.com/vi/sCVaOmiTipc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAeB-lDo2Hj-PANP5ii5CcWzK9rVQ
BOSS Fall Winter 2022 | Milan Fashion Show,970000,스트리밍 시간: 1개월 전,BOSS,패션,https://i.ytimg.com/vi/7EKGOxw-frs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4aaqZd-qlZ0l9NVXpA2VhDfJeIQ
"[나 혼자 산다 선공개] 패션에도 꾸준히 노력하는 아티스트 이찬혁♦️! 심상치 않은 찬혁착장👕, MBC 221014 방송",960000,3주 전,나혼자산다 STUDIO,패션,https://i.ytimg.com/vi/YfnluJrFfeU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDP9Wskbm70vYJaazX9h6b60u9hXg
"[나 혼자 산다]😎옷 잘 입는 전현무,, 이게 되네??😇현무 패션 심폐소생에 성공한 코쿤👨‍⚕️👕| #전현무 #코쿤 MBC220617방송",950000,4개월 전,엠뚜루마뚜루 : MBC 공식 종합 채널,패션,https://i.ytimg.com/vi/jgHeeGki354/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA-N3uyZNMTXjd5RkuwBx-_mupzbA
"혜안이 직접 하는 ""혜안 패션 월드컵""ㅋㅋㅋㅋㅋㅋㅋㅋㅋ",940000,5개월 전,혜안,패션,https://i.ytimg.com/vi/X9i2zEu1Juk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCqeqRdNXdGA0HJg3CWCjijEQQwaQ
"""이렇게 입으면 허수다"" 구독자 독서실 패션까지 훈수질 해버리기",910000,10개월 전,미미미누,패션,https://i.ytimg.com/vi/l5pIl6cuPRM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBzpVYq4whT50sLHqR8FagTYy7kCQ
"놀아줘클럽, 패션모델 데뷔했습니다💥 갓벽한 패션쇼 런웨이 | 🎵We are 첫 무대 | 놀아줘클럽 142화",910000,10개월 전,포켓TV / Pocket TV,패션,https://i.ytimg.com/vi/OBLc3yncs2k/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAq8Ot4Upujpa75kMuWvZhIkGLPyA
2022년에 0000은 옷장에 잠시 넣어두세요! 아이템 6가지✔️,820000,10개월 전,AliceFunk 앨리스펑크,패션,https://i.ytimg.com/vi/Q-e3WF4oNoI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLABcRy1QoUi5t1yJvKAGpJeGfTB-w
